LAST SEEN   TYPE      REASON                            OBJECT                                                    MESSAGE
3m29s       Normal    Scheduled                         pod/sa-platform-books-service-5c65fb986d-47gzr            Successfully assigned sa-p7/sa-platform-books-service-5c65fb986d-47gzr to p7-202100265-control-plane
3m29s       Normal    Pulled                            pod/sa-platform-api-gateway-5675f755f7-pbmbg              Container image "p7-api-gateway:local" already present on machine
2m47s       Normal    SuccessfulCreate                  cronjob/sa-platform-cronjob-insert                        Created job sa-platform-cronjob-insert-29818394
2m47s       Normal    Scheduled                         pod/sa-platform-cronjob-insert-29818394-vcldd             Successfully assigned sa-p7/sa-platform-cronjob-insert-29818394-vcldd to p7-202100265-control-plane
2m47s       Normal    SuccessfulCreate                  job/sa-platform-cronjob-insert-29818394                   Created pod: sa-platform-cronjob-insert-29818394-vcldd
2m41s       Warning   BackOff                           pod/sa-platform-cronjob-insert-29818394-vcldd             Back-off restarting failed container cronjob-insert in pod sa-platform-cronjob-insert-29818394-vcldd_sa-p7(a78350f7-5067-47b1-8e15-f6b5d75100b9)
2m33s       Normal    Started                           pod/sa-platform-loans-service-54c66bff75-x9mk2            Started container loans-service
2m33s       Normal    Created                           pod/sa-platform-loans-service-54c66bff75-x9mk2            Created container loans-service
2m33s       Normal    Pulled                            pod/sa-platform-loans-service-54c66bff75-x9mk2            Container image "p7-loans-service:local" already present on machine
2m31s       Normal    Started                           pod/sa-platform-books-service-5c65fb986d-47gzr            Started container books-service
2m31s       Normal    Created                           pod/sa-platform-books-service-5c65fb986d-47gzr            Created container books-service
2m31s       Normal    Pulled                            pod/sa-platform-books-service-5c65fb986d-47gzr            Container image "p7-books-service:local" already present on machine
2m30s       Normal    Pulled                            pod/sa-platform-auth-service-69984956c6-k5zrq             Container image "p7-auth-service:local" already present on machine
2m30s       Normal    Started                           pod/sa-platform-auth-service-69984956c6-k5zrq             Started container auth-service
2m30s       Normal    Created                           pod/sa-platform-notifications-service-d4cdb776b-gjwl8     Created container notifications-service
2m30s       Normal    Started                           pod/sa-platform-notifications-service-d4cdb776b-gjwl8     Started container notifications-service
2m30s       Normal    Created                           pod/sa-platform-auth-service-69984956c6-k5zrq             Created container auth-service
2m30s       Normal    Pulled                            pod/sa-platform-notifications-service-d4cdb776b-gjwl8     Container image "p7-notifications-service:local" already present on machine
2m28s       Warning   BackOff                           pod/sa-platform-notifications-service-d4cdb776b-gjwl8     Back-off restarting failed container notifications-service in pod sa-platform-notifications-service-d4cdb776b-gjwl8_sa-p7(7c41352c-0d0c-4a0c-8ddf-dc3533263d99)
2m28s       Warning   BackOff                           pod/sa-platform-books-service-5c65fb986d-47gzr            Back-off restarting failed container books-service in pod sa-platform-books-service-5c65fb986d-47gzr_sa-p7(8577ccef-e422-4384-8272-6b7e896543d5)
2m28s       Warning   BackOff                           pod/sa-platform-loans-service-54c66bff75-x9mk2            Back-off restarting failed container loans-service in pod sa-platform-loans-service-54c66bff75-x9mk2_sa-p7(105958f3-4e7c-47a5-a1d1-2c115a4e23f6)
2m27s       Normal    Created                           pod/sa-platform-cronjob-insert-29818394-vcldd             Created container cronjob-insert
2m27s       Warning   BackOff                           pod/sa-platform-auth-service-69984956c6-k5zrq             Back-off restarting failed container auth-service in pod sa-platform-auth-service-69984956c6-k5zrq_sa-p7(f0c8ed2e-b2a6-4860-82fb-577abde866b4)
2m27s       Normal    Started                           pod/sa-platform-cronjob-insert-29818394-vcldd             Started container cronjob-insert
2m27s       Normal    Pulled                            pod/sa-platform-cronjob-insert-29818394-vcldd             Container image "p7-cronjob-insert:local" already present on machine
2m26s       Normal    Killing                           pod/sa-platform-cronjob-insert-29818394-vcldd             Stopping container cronjob-insert
2m26s       Normal    SuccessfulDelete                  job/sa-platform-cronjob-insert-29818394                   Deleted pod: sa-platform-cronjob-insert-29818394-vcldd
2m25s       Normal    Killing                           pod/sa-platform-postgresql-0                              Stopping container postgresql
2m25s       Warning   CalculateExpectedPodCountFailed   poddisruptionbudget/sa-platform-postgresql                Failed to calculate the number of expected pods: found no controllers for pod "sa-platform-postgresql-0"
2m25s       Normal    Killing                           pod/sa-platform-rabbitmq-0                                Stopping container rabbitmq
2m25s       Warning   CalculateExpectedPodCountFailed   poddisruptionbudget/sa-platform-rabbitmq                  Failed to calculate the number of expected pods: found no controllers for pod "sa-platform-rabbitmq-0"
2m24s       Normal    Killing                           pod/sa-platform-api-gateway-5675f755f7-pbmbg              Stopping container api-gateway
2m22s       Warning   Unhealthy                         pod/sa-platform-api-gateway-5675f755f7-pbmbg              Readiness probe failed: HTTP probe failed with statuscode: 503
115s        Normal    SuccessfulCreate                  replicaset/sa-platform-auth-service-5cf475865b            Created pod: sa-platform-auth-service-5cf475865b-nktr5
115s        Normal    Provisioning                      persistentvolumeclaim/data-sa-platform-rabbitmq-0         External provisioner is provisioning volume for claim "sa-p7/data-sa-platform-rabbitmq-0"
115s        Normal    SuccessfulCreate                  statefulset/sa-platform-rabbitmq                          create Pod sa-platform-rabbitmq-0 in StatefulSet sa-platform-rabbitmq successful
115s        Normal    SuccessfulCreate                  statefulset/sa-platform-rabbitmq                          create Claim data-sa-platform-rabbitmq-0 Pod sa-platform-rabbitmq-0 in StatefulSet sa-platform-rabbitmq success
115s        Normal    NoPods                            poddisruptionbudget/sa-platform-rabbitmq                  No matching pods found
115s        Normal    WaitForFirstConsumer              persistentvolumeclaim/data-sa-platform-postgresql-0       waiting for first consumer to be created before binding
115s        Normal    Scheduled                         pod/sa-platform-loans-service-67d5d9c8f5-n7wcj            Successfully assigned sa-p7/sa-platform-loans-service-67d5d9c8f5-n7wcj to p7-202100265-control-plane
115s        Normal    ExternalProvisioning              persistentvolumeclaim/data-sa-platform-postgresql-0       Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
115s        Normal    Provisioning                      persistentvolumeclaim/data-sa-platform-postgresql-0       External provisioner is provisioning volume for claim "sa-p7/data-sa-platform-postgresql-0"
115s        Normal    ScalingReplicaSet                 deployment/sa-platform-auth-service                       Scaled up replica set sa-platform-auth-service-5cf475865b to 1
115s        Normal    WaitForFirstConsumer              persistentvolumeclaim/data-sa-platform-rabbitmq-0         waiting for first consumer to be created before binding
115s        Normal    SuccessfulCreate                  replicaset/sa-platform-loans-service-67d5d9c8f5           Created pod: sa-platform-loans-service-67d5d9c8f5-n7wcj
115s        Normal    ExternalProvisioning              persistentvolumeclaim/data-sa-platform-rabbitmq-0         Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
115s        Normal    ScalingReplicaSet                 deployment/sa-platform-loans-service                      Scaled up replica set sa-platform-loans-service-67d5d9c8f5 to 1
115s        Normal    Scheduled                         pod/sa-platform-notifications-service-76466f6f6b-ld7wz    Successfully assigned sa-p7/sa-platform-notifications-service-76466f6f6b-ld7wz to p7-202100265-control-plane
115s        Normal    Scheduled                         pod/sa-platform-auth-service-5cf475865b-nktr5             Successfully assigned sa-p7/sa-platform-auth-service-5cf475865b-nktr5 to p7-202100265-control-plane
115s        Normal    Scheduled                         pod/sa-platform-books-service-74cb6f59d4-jbfg8            Successfully assigned sa-p7/sa-platform-books-service-74cb6f59d4-jbfg8 to p7-202100265-control-plane
115s        Normal    Scheduled                         pod/sa-platform-api-gateway-5dfdd8fb9-wvsx5               Successfully assigned sa-p7/sa-platform-api-gateway-5dfdd8fb9-wvsx5 to p7-202100265-control-plane
115s        Normal    Pulled                            pod/sa-platform-api-gateway-5dfdd8fb9-wvsx5               Container image "p7-api-gateway:local" already present on machine
115s        Normal    Created                           pod/sa-platform-api-gateway-5dfdd8fb9-wvsx5               Created container api-gateway
115s        Normal    SuccessfulCreate                  replicaset/sa-platform-notifications-service-76466f6f6b   Created pod: sa-platform-notifications-service-76466f6f6b-ld7wz
115s        Normal    Started                           pod/sa-platform-api-gateway-5dfdd8fb9-wvsx5               Started container api-gateway
115s        Normal    SuccessfulCreate                  statefulset/sa-platform-postgresql                        create Pod sa-platform-postgresql-0 in StatefulSet sa-platform-postgresql successful
115s        Normal    ScalingReplicaSet                 deployment/sa-platform-books-service                      Scaled up replica set sa-platform-books-service-74cb6f59d4 to 1
115s        Normal    SuccessfulCreate                  replicaset/sa-platform-books-service-74cb6f59d4           Created pod: sa-platform-books-service-74cb6f59d4-jbfg8
115s        Normal    SuccessfulCreate                  statefulset/sa-platform-postgresql                        create Claim data-sa-platform-postgresql-0 Pod sa-platform-postgresql-0 in StatefulSet sa-platform-postgresql success
115s        Normal    NoPods                            poddisruptionbudget/sa-platform-postgresql                No matching pods found
115s        Normal    SuccessfulCreate                  replicaset/sa-platform-api-gateway-5dfdd8fb9              Created pod: sa-platform-api-gateway-5dfdd8fb9-wvsx5
115s        Normal    ScalingReplicaSet                 deployment/sa-platform-notifications-service              Scaled up replica set sa-platform-notifications-service-76466f6f6b to 1
115s        Normal    ScalingReplicaSet                 deployment/sa-platform-api-gateway                        Scaled up replica set sa-platform-api-gateway-5dfdd8fb9 to 1
112s        Normal    ProvisioningSucceeded             persistentvolumeclaim/data-sa-platform-rabbitmq-0         Successfully provisioned volume pvc-11ece35b-c775-4309-9ef0-93feb064f9e9
112s        Normal    ProvisioningSucceeded             persistentvolumeclaim/data-sa-platform-postgresql-0       Successfully provisioned volume pvc-7669dfbb-ada5-40bb-978a-e1d3a2bf7836
